	name	Serial_result	Serial_memory	Serial_runtime
158	lru_8.sanitized.cnf	0	2.1046485900878906	6.94
159	mp1-blockpuzzle_5x10_s7_free4.cnf	-1	0.0139617919921875	23.12
160	VanDerWaerden_2-3-14_186.cnf	0	0.09587860107421875	2999.9
161	spg_200_316.cnf	0	0.3120079040527344	2998.86
162	x9-11062.sat.sanitized.cnf	1	0.032375335693359375	232.69
163	cliquecolouring_n15_k9_c8.sanitized.cnf	0	0.1259613037109375	3000.35
164	af-synthesis_stb_50_100_9_sat.cnf	1	0.027667999267578125	5.94
165	Folkman-180-5383714.sanitized.cnf	1	0.028522491455078125	96.67
166	Folkman-175-1251868.sanitized.cnf	1	0.031585693359375	91.96
167	rook-56-1-1.cnf	-1	0.11709976196289062	1179.55
168	6g_6color_366_050_04.cnf	0	0.19942474365234375	2999.94
169	af-synthesis_stb_50_120_4_sat.cnf	1	0.046722412109375	118.66
170	mdp-28-11-sat.cnf	1	0.03820037841796875	613.21
171	Kakuro-easy-097-ext.xml.hg_4.cnf	0	1.339813232421875	3000.87
172	mp1-Nb7T42.cnf	0	0.16967010498046875	3000.87
173	bvsub_19952.smt2.cnf	0	0.24509429931640625	2999.84
174	mdp-36-10-sat.cnf	0	0.045200347900390625	2999.88
175	j3045_4_gmto_b.cnf	1	0.0381011962890625	934.95
176	mdp-32-12-unsat.cnf	0	0.06992721557617188	2999.86
177	g2-ak128boothbg2msisc.cnf	1	0.08258056640625	0.53
178	constraints_17_0.4_2.sanitized.cnf	-1	0.09071731567382812	86.69
179	worker_20_40_20_0.95.cnf	1	0.00354766845703125	0.12
180	tseitingrid6x200_shuffled.cnf	0	0.08910751342773438	2999.83
181	mdp-32-16-sat.cnf	1	0.035022735595703125	648.0
182	Break_triple_20_36.xml.cnf	0	0.12100982666015625	2999.32
183	lec_mult_DvW_12x11.sanitized.cnf	0	0.0782470703125	2999.21
184	ITC2021_Early_10.xml.cnf	0	0.17098617553710938	2999.87
185	linked_list_swap_contents_safety_unwind62.cnf	-1	1.4556655883789062	135.33
186	x9-10038.sat.sanitized.cnf	1	0.030426025390625	203.11
187	1-ET-512-K-110.sanitized.cnf	0	0.15163040161132812	2999.12
188	circuit_64in64out_with_64gates_8in5out_dist256_seed1.sanitized.cnf	1	0.09702682495117188	58.84
189	noL-11-18.sanitized.cnf	1	0.039676666259765625	228.97
190	lec_mult_KvW_12x11.sanitized.cnf	0	0.02545928955078125	2999.87
191	hwmcc20miters-iso-mul3.sanitized.cnf	-1	0.18429183959960938	1.86
192	1-ZC-1024-K-117.sanitized.cnf	0	0.43030548095703125	2999.91
193	srhd-sgi-m37-q446.25-n35-p30-s33692332.cnf	1	0.0051422119140625	0.02
194	x9-09007.sat.sanitized.cnf	-1	0.007640838623046875	37.48
195	circuit_32in32out_with_400gates_6in6out_dist64_seed1.sanitized.cnf	1	0.2703819274902344	126.23
196	lru_10.sanitized.cnf	0	2.1528968811035156	6.94
197	Nb44T6.cnf	0	1.032196044921875	2999.86
198	ER_400_20_4.apx_2_DC-ST.cnf	-1	0.036529541015625	393.89
199	ITC2021_Early_3.xml.cnf	1	0.015598297119140625	1.0
200	asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf	1	0.07199859619140625	417.07
201	g2-slp-synthesis-aes-top30.cnf	1	0.059749603271484375	72.76
202	1-TC-256-K-71.sanitized.cnf	-1	0.04754638671875	149.79
203	128_125.sanitized.cnf	0	1.9880523681640625	6.98
204	mdp-28-14-unsat.cnf	-1	0.05248260498046875	2617.82
205	x9-09098.sat.sanitized.cnf	-1	0.019214630126953125	85.52
206	Folkman-185-152478531.sanitized.cnf	1	0.043804168701171875	468.47
207	x9-09047.sat.sanitized.cnf	-1	0.0078125	35.38
208	g2-hwmcc15deep-6s161-k17.cnf	-1	0.04541015625	1300.8
209	combined-crypto1-wff-seed-102-wffvars-500-cryptocplx-31-overlap-2.cnf	1	0.0158233642578125	19.07
210	stb_418_125.apx_1_DC-ST.cnf	-1	0.040538787841796875	637.66
211	ER_400_20_4.apx_2_DC-AD.cnf	-1	0.0456085205078125	467.8
212	battleship-14-26-sat.cnf	1	0.01983642578125	18.32
213	asconhashv12_opt64_H11_M2-MxJOnbQIXNd_m5_6.c.cnf	1	0.06854629516601562	160.73
214	WS_500_16_70_10.apx_1_DC-ST.cnf	-1	0.02294921875	414.69
215	tseitin_d3_n174.sanitized.cnf	0	0.07624053955078125	2996.64
216	constraints_16_0.5_1.sanitized.cnf	-1	0.0634918212890625	142.4
217	EDP3-11000.cnf	1	0.08863067626953125	98.62
218	mulhs016-sc2009.cnf	0	0.055683135986328125	2995.26
219	6s167-opt.cnf	-1	0.004871368408203125	0.38
220	circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf	1	0.033977508544921875	42.9
221	simon-r25-0.sanitized.cnf	1	0.00325775146484375	0.01
222	x9-11094.sat.sanitized.cnf	1	0.050991058349609375	596.17
223	af-synthesis_stb_50_40_9_sat.cnf	1	0.0400238037109375	1204.81
224	exam_flat_0.04_2018_3.cnf	1	0.4658470153808594	936.92
225	mchess_17.cnf	0	0.057098388671875	2999.88
226	worker_30_60_25_0.9.cnf	0	0.1312103271484375	3000.01
227	pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf	-1	0.029815673828125	232.12
228	noL-11-10.sanitized.cnf	1	0.02239227294921875	109.13
229	j3037_10_mdd_bm1.cnf	-1	0.02109527587890625	50.79
230	si2-b03m-m800-03.cnf	1	0.10589981079101562	8.01
231	rbsat-v760c43649gyes7.cnf	1	0.047210693359375	2393.39
232	Folkman-180-11710376.sanitized.cnf	1	0.0273590087890625	97.44
233	lec_mult_CvK_12x12.sanitized.cnf	0	0.0562896728515625	2999.8
234	linked_list_swap_contents_safety_unwind76.cnf	-1	2.0435829162597656	228.49
235	x9-09024.sat.sanitized.cnf	-1	0.010772705078125	38.03
236	StConn_7_128.sanitized.cnf	0	0.07424545288085938	2999.88
237	Folkman-175-9054056.sanitized.cnf	1	0.03127288818359375	100.73
238	noL-11-6.sanitized.cnf	1	0.11994171142578125	2153.03
239	ER_500_30_3.apx_1_DC-ST.cnf	-1	0.06185150146484375	360.85
240	f9idw.cnf	-1	0.244171142578125	490.54
241	rook-42-0-1.cnf	-1	0.16038894653320312	1773.79
242	linked_list_swap_contents_safety_unwind78.cnf	0	2.126476287841797	25.98
243	Schur_161_5_d38.cnf	0	0.075897216796875	2999.86
244	pcmax-scheduling-m24-17855-226744-SAT.sanitized.cnf	0	0.1184539794921875	3000.84
245	noL-11-14.sanitized.cnf	1	0.024936676025390625	85.12
246	Dodecahedron-k7.cnf	0	0.10216522216796875	3000.91
247	af-synthesis_stb_50_140_0_unsat.cnf	-1	0.045383453369140625	1000.57
248	or_randxor_k3_n510_m510.sanitized.cnf	-1	0.00608062744140625	4.92
249	benchmarks.txt	0	0.0	0.0
250	constraints_16_0.3_1.sanitized.cnf	-1	0.056697845458984375	179.47
251	cliquecolouring_n13_k8_c7.sanitized.cnf	0	0.10897064208984375	3000.86
252	pcmax-scheduling-m24-24102-255206-SAT.sanitized.cnf	0	0.11585235595703125	2999.99
253	fixedbandwidth-eq-31_shuffled.cnf	-1	0.037288665771484375	1839.8
254	oisc-subrv-sll-nested-11.cnf	0	1.9304580688476562	25.93
255	lec_mult_KvW_11x10.sanitized.cnf	-1	0.022747039794921875	818.74
256	32_325.sanitized.cnf	0	1.9795303344726562	6.97
257	ecarev-110-4099-22-30-7.cnf	1	0.13239288330078125	531.74
258	mdp-28-10-unsat.cnf	-1	0.04347991943359375	1150.86
259	noL-11-16.sanitized.cnf	1	0.033687591552734375	130.43
260	FmlaImplyChain_3_7_8.sanitized.cnf	0	0.101318359375	3000.87
261	x9-12021.sat.sanitized.cnf	1	0.037265777587890625	511.93
262	ctl_4291_567_2_unsat-sc2013.cnf	-1	0.040493011474609375	2151.16
263	circuit_48in24out_with_100gates_7in7out_dist128_seed1.sanitized.cnf	1	0.31589508056640625	139.36
264	x9-10027.sat.sanitized.cnf	1	0.010555267333984375	52.4
265	x9-09051.sat.sanitized.cnf	-1	0.01055145263671875	56.91
266	urq45.cnf	-1	0.040103912353515625	326.35
267	sokoban-p20.sas.cr.33.cnf	0	0.15567779541015625	3000.83
268	tseitin_d3_n158.sanitized.cnf	0	0.0883331298828125	2999.83
269	sokoban-p16.sas.ex.15-sc2016.cnf	-1	0.6962127685546875	1160.58
270	stable-300-0.1-20-98765432130020.cnf	1	0.027515411376953125	115.25
271	openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf	-1	0.07637405395507812	2589.24
272	lec_mult_CvK_12x11.sanitized.cnf	0	0.0323333740234375	2999.91
273	1-ZC-512-K-64.sanitized.cnf	0	0.10223388671875	3000.85
